No.,x_m,y_m,z_m,official_velocity_ratio,raw_trilinear_velocity_ratio,raw_abs_error_pp,z_plus_half_velocity_ratio,z_plus_half_abs_error_pp,vertical_valid_above_velocity_ratio,vertical_valid_above_abs_error_pp,z_plus_half_improvement_pp,nearest_footprint_distance_m,nearest_wall_crossing_distance_m,solid_corner_neighbors_max,protocol_risk,dx_m,ground_offset_cells,origin_z_offset_m,grid_x_float,grid_y_float,grid_z_float,grid_x0,grid_y0,grid_z0,grid_tx,grid_ty,grid_tz,lower_z_center_m,upper_z_center_m,straddles_two_z_layers
42,53.0,26.0,2.0,0.44,0.34939494,9.060506000000002,0.36074563,7.925437000000002,0.33972462,10.027538000000003,1.1350689999999997,6.352867039770307,6.352867039770307,0,low,2.0,1,1.0,176.0,262.5,1.0,176,262,1,0.0,0.5,0.0,2.0,4.0,False
43,67.5,32.5,2.0,0.30000002,0.31412336,1.412334000000004,0.34240885,4.240883000000001,0.34413076,4.413074,-2.828548999999997,5.800662804582563,5.800662804582563,0,low,2.0,1,1.0,183.25,265.75,1.0,183,265,1,0.25,0.75,0.0,2.0,4.0,False
44,83.0,39.0,2.0,0.46,0.61101136,15.101135999999999,0.58105829,12.105828999999996,0.61101136,15.101135999999999,2.9953070000000026,7.064077279624004,7.064077279624004,0,low,2.0,1,1.0,191.0,269.0,1.0,191,269,1,0.0,0.0,0.0,2.0,4.0,False
45,120.5,56.5,2.0,0.2,0.23534922,3.5349219999999986,0.30629161,10.629160999999998,0.18205128,1.7948720000000002,-7.094238999999999,7.371016220644202,7.371016220644202,0,low,2.0,1,1.0,209.75,277.75,1.0,209,277,1,0.75,0.75,0.0,2.0,4.0,False
46,-121.0,-56.5,2.0,0.18,0.00581474,17.418525999999996,0.00290737,17.709263,0.22918175,4.918175,-0.290737000000002,0.7774980765367665,0.7774980765367673,4,high,2.0,1,1.0,89.0,221.25,1.0,89,221,1,0.0,0.25,0.0,2.0,4.0,False
47,-96.5,-59.5,2.0,0.2,0.00040261,19.959739000000003,0.00400625,19.599375000000002,0.02134304,17.865696,0.36036399999999913,0.5070107312291643,0.5070843888233374,4,high,2.0,1,1.0,101.25,219.75,1.0,101,219,1,0.25,0.75,0.0,2.0,4.0,False
48,-77.0,-59.0,2.0,0.36,0.0,36.0,0.09447746,26.552253999999998,0.18895493,17.104506999999998,9.447746000000002,2.8006919234360694,2.8006919234360694,2,moderate,2.0,1,1.0,111.0,220.0,1.0,111,220,1,0.0,0.0,0.0,2.0,4.0,False
49,-59.5,-51.5,2.0,0.30000002,0.089948,21.005201999999997,0.13769263,16.230738999999996,0.15990755,14.009246999999997,4.774463000000001,0.4205624168535287,0.4205624168535287,4,high,2.0,1,1.0,119.75,223.75,1.0,119,223,1,0.75,0.75,0.0,2.0,4.0,False
50,-45.5,-45.0,2.0,0.26,0.0848162,17.51838,0.06106408,19.893592,0.11308826,14.691174000000002,-2.3752120000000017,0.0,0.04286678824380135,4,high,2.0,1,1.0,126.75,227.0,1.0,126,227,1,0.75,0.0,0.0,2.0,4.0,False
51,-24.5,-19.5,2.0,0.69,0.48384602,20.615397999999995,0.51318633,17.68136699999999,0.45702707,23.297292999999996,2.9340310000000036,3.7427099838020115,3.7427099838020115,0,low,2.0,1,1.0,137.25,239.75,1.0,137,239,1,0.25,0.75,0.0,2.0,4.0,False
52,-31.0,-23.5,2.0,0.63,0.29702716,33.297284,0.25970518,37.029482,0.32616859,30.383141000000002,-3.732198000000003,2.451019930855621,2.451019930855621,0,low,2.0,1,1.0,134.0,237.75,1.0,134,237,1,0.0,0.75,0.0,2.0,4.0,False
53,-24.5,-38.0,2.0,0.57,0.29621709,27.378290999999994,0.20083101,36.916898999999994,0.30314334,26.685665999999998,-9.538607999999998,2.203486638690659,2.203486638690659,0,low,2.0,1,1.0,137.25,230.5,1.0,137,230,1,0.25,0.5,0.0,2.0,4.0,False
54,-20.0,-30.5,2.0,0.58999996,0.55412208,3.587788000000003,0.5411969,4.880306000000001,0.5446308,4.5369160000000015,-1.292517999999998,3.753551852046542,3.753551852046542,0,low,2.0,1,1.0,139.5,234.25,1.0,139,234,1,0.5,0.25,0.0,2.0,4.0,False
55,-11.0,-50.0,2.0,0.38,0.42488302,4.488301999999999,0.44700913,6.700912999999997,0.39828416,1.8284159999999994,-2.2126109999999977,2.9132593185039584,2.913280179638917,0,low,2.0,1,1.0,144.0,224.5,1.0,144,224,1,0.0,0.5,0.0,2.0,4.0,False
56,38.0,5.5,2.0,0.67,0.23035676,43.964324000000005,0.3054533,36.45467000000001,0.20449593,46.55040700000001,7.509653999999999,1.5690504903677738,1.5693212529899137,2,moderate,2.0,1,1.0,168.5,252.25,1.0,168,252,1,0.5,0.25,0.0,2.0,4.0,False
57,74.0,22.0,2.0,0.34,0.38878271,4.878270999999995,0.38513636,4.513635999999998,0.45790229,11.790228999999997,0.3646349999999965,5.203844076797938,5.2044472406418905,0,low,2.0,1,1.0,186.5,260.5,1.0,186,260,1,0.5,0.5,0.0,2.0,4.0,False
58,63.0,0.5,2.0,0.85,0.03546029,81.453971,0.19583997,65.416003,0.32877026,52.122974,16.037968000000003,4.351271309747123,4.351296674018313,2,moderate,2.0,1,1.0,181.0,249.75,1.0,181,249,1,0.0,0.75,0.0,2.0,4.0,False
59,50.5,-22.5,2.0,0.42,0.3738214,4.617859999999996,0.34844237,7.1557629999999985,0.38999469,3.0005310000000005,-2.5379030000000027,4.162901581904743,4.162901581904743,0,low,2.0,1,1.0,174.75,238.25,1.0,174,238,1,0.75,0.25,0.0,2.0,4.0,False
60,88.5,-6.0,2.0,0.73,0.40659553,32.340447,0.46585959,26.414040999999997,0.43830293,29.169707,5.926406000000001,8.080519289044803,8.08070074452087,0,low,2.0,1,1.0,193.75,246.5,1.0,193,246,1,0.75,0.5,0.0,2.0,4.0,False
61,31.0,0.0,2.0,0.54000004,0.0,54.000004000000004,0.03368947,50.631057,0.1347579,40.524214,3.368947,1.5984745907492144,1.5984745907492144,4,high,2.0,1,1.0,165.0,249.5,1.0,165,249,1,0.0,0.5,0.0,2.0,4.0,False
62,39.5,-20.0,2.0,0.69,0.13480377,55.519622999999996,0.1114426,57.85574,0.18809394,50.190605999999995,-2.336117000000004,1.7216158869062919,1.7216158869062919,2,moderate,2.0,1,1.0,169.25,239.5,1.0,169,239,1,0.25,0.5,0.0,2.0,4.0,False
63,92.5,20.0,2.0,0.4,0.50945962,10.945961999999998,0.49820674,9.820673999999997,0.4947657,9.476569999999995,1.125288000000002,5.183777406373793,5.212937888369193,0,low,2.0,1,1.0,195.75,259.5,1.0,195,259,1,0.75,0.5,0.0,2.0,4.0,False
64,100.5,3.5,2.0,0.44,0.32212837,11.787163,0.32883621,11.116378999999998,0.30283064,13.716936000000002,0.670784000000002,4.762931870248085,4.762931870248085,0,low,2.0,1,1.0,199.75,251.25,1.0,199,251,1,0.75,0.25,0.0,2.0,4.0,False
65,-83.0,-94.0,2.0,0.30000002,0.0,30.000002,0.08050189,21.949812999999995,0.20786719,9.213282999999997,8.050189000000001,1.8900973850571823,1.8900973850571823,4,high,2.0,1,1.0,108.0,202.5,1.0,108,202,1,0.0,0.5,0.0,2.0,4.0,False
66,-49.5,-78.5,2.0,0.32,0.41141345,9.141345000000001,0.3651744,4.517440000000001,0.41903797,9.903796999999997,4.623905000000001,1.6818567640429325,1.6818567640429325,2,moderate,2.0,1,1.0,124.75,210.25,1.0,124,210,1,0.75,0.25,0.0,2.0,4.0,False
67,-10.0,-59.5,2.0,0.5,0.0,50.0,0.10264962,39.735038,0.1608639,33.91361,10.264962,6.5762090190701805,6.5762090190701805,4,high,2.0,1,1.0,144.5,219.75,1.0,144,219,1,0.5,0.75,0.0,2.0,4.0,False
68,1.0,-54.0,2.0,0.28,0.07076399,20.923601,0.10774844,17.225156000000002,0.14152797,13.847203000000002,3.6984450000000004,1.8051341484144767,1.8051341484144767,2,moderate,2.0,1,1.0,150.0,222.5,1.0,150,222,1,0.0,0.5,0.0,2.0,4.0,False
