No.,case,Wind_direction,x(m),y(m),z(m),Velocity_Ratio
7,bc,SE,-33.5,57.5,2,0.4
8,bc,SE,-9.5,69,2,0.22
9,bc,SE,7,76.5,2,0.28
10,bc,SE,45,94,2,0.34
11,bc,SE,80.5,110,2,0.22
12,bc,SE,-133,21,2,0.36
13,bc,SE,-97,19,2,0.26
14,bc,SE,-84,22.5,2,0.46
15,bc,SE,-65.5,29.5,2,0.5
16,bc,SE,-47.5,36.5,2,0.48
17,bc,SE,-25,47,2,0.46
18,bc,SE,-5,56,2,0.28
19,bc,SE,13.5,64.5,2,0.16
20,bc,SE,50,81.5,2,0.18
21,bc,SE,87,97.5,2,0.14
22,bc,SE,-114.5,-8,2,0.22
23,bc,SE,-90.5,8,2,0.24
24,bc,SE,-56,33,2,0.5
25,bc,SE,-51,22,2,0.38
26,bc,SE,-46.5,11,2,0.34
27,bc,SE,-39,16,2,0.3
28,bc,SE,-39.5,-4,2,0.34
29,bc,SE,-32,0,2,0.2
30,bc,SE,-39,-11,2,0.34
31,bc,SE,6.5,52,2,0.42
32,bc,SE,65.5,74.5,2,0.52
33,bc,SE,73.5,56.5,2,0.5
34,bc,SE,-117.5,-32,2,0.18
35,bc,SE,-86.5,-35.5,2,0.18
36,bc,SE,-75,-31.5,2,0.18
37,bc,SE,-55.5,-23,2,0.14
38,bc,SE,-26,-10,2,0.4
39,bc,SE,-9,-2.5,2,0.38
40,bc,SE,6.5,4.5,2,0.52
41,bc,SE,29.5,15,2,0.54
42,bc,SE,53,26,2,0.32
43,bc,SE,67.5,32.5,2,0.32
44,bc,SE,83,39,2,0.4
45,bc,SE,120.5,56.5,2,0.24
46,bc,SE,-121,-56.5,2,0.2
47,bc,SE,-96.5,-59.5,2,0.2
48,bc,SE,-77,-59,2,0.26
49,bc,SE,-59.5,-51.5,2,0.16
50,bc,SE,-45.5,-45,2,0.2
51,bc,SE,-24.5,-19.5,2,0.18
52,bc,SE,-31,-23.5,2,0.48
